id,image,name,category,material,condition,description,sellerId,askingPrice,currentBid,currency,highestBidderId,listedAt,dueDate,isForSale,offerCount,weight
2011,/products/2011.webp,White gold paperclip bracelet,bracelet,18k,new,"New 18k white gold paperclip bracelet, 16.5cm length. Bright finish, never worn outside; clasp is smooth.",711,1450,1450,USD,,2026-02-09,2026-03-02,true,0,10.9
2012,/products/2012.webp,Gemstone halo ring,ring,gemstone,slightly scratched,"Gemstone halo ring in white gold tone. Ring size US 5.5. Stone approx. 6mm center; light scratches on band, stones secure.",712,380,520,USD,user_07,2025-08-14,2026-02-12,true,12,3.7
2013,/products/2013.webp,Pink gold station necklace,necklace,14k,very good,"14k pink gold station necklace, 40cm with 5cm extender. Small stones approx. 3mm each. Minimal wear, great layering piece.",713,690,735,USD,user_63,2026-01-18,2026-03-12,true,2,4.1
2014,/products/2014.webp,Yellow gold huggie earrings,earrings,18k,good,"18k yellow gold huggie earrings, inner diameter ~9mm. Light wear on edges; closes firmly, comfortable for daily use.",714,560,640,USD,user_24,2025-10-30,2026-02-22,true,6,2.2
2015,/products/2015.webp,Gemstone bar bracelet,bracelet,gemstone,very good,"Gemstone bar bracelet in rose gold tone, 17.5cm length. Bar stones approx. 12mm total. Very clean with minimal wear.",715,410,555,USD,user_81,2025-12-27,2026-03-20,true,9,7.4
2016,/products/2016.webp,White gold solitaire-style ring,ring,14k,scratched,14k white gold solitaire-style ring. Ring size US 6. Center stone approx. 5mm. Visible scratches on band from wear; stone secure.,716,690,730,USD,user_13,2025-07-06,2026-02-16,true,5,3.4
2017,/products/2017.webp,Yellow gold pendant necklace,necklace,18k,good,"18k yellow gold pendant necklace, 46cm chain. Pendant diameter ~10mm. Normal signs of wear; pendant front still bright.",717,1320,1405,USD,user_39,2025-11-17,2026-03-04,true,4,8.9
2018,/products/2018.webp,Pink gold small hoop earrings,earrings,14k,very good,"14k pink gold small hoops, diameter ~1.8cm. Light surface marks only; hinges and clasp work perfectly.",718,260,355,USD,user_58,2026-02-06,2026-02-21,true,7,1.9
2019,/products/2019.webp,White gold layered chain necklace,necklace,14k,slightly scratched,"14k white gold layered chain necklace, 38cm + 42cm layers. Minor scratches on the tag and clasp area; overall looks sleek.",719,840,910,USD,user_09,2025-09-05,2026-03-08,true,3,6.2
2020,/products/2020.webp,Gemstone cluster earrings,earrings,gemstone,good,Gemstone cluster earrings in yellow gold tone. Cluster size approx. 8mm. Light wear on backs; stones intact and bright.,720,330,470,USD,user_66,2025-10-07,2026-02-24,true,11,2.8
3001,/products/3001.webp,Yellow gold vintage signet ring,ring,18k,very good,Solid 18k yellow gold vintage signet ring. Ring size US 8. Smooth polished face with light wear on the band consistent with age.,801,5200,6800,USD,user_112,2026-03-18,2026-05-20,true,22,9.6
3002,/products/3002.webp,White gold diamond eternity ring,ring,18k,good,18k white gold eternity ring set with small round diamonds around the band. Ring size US 6. Minor wear on the underside; stones intact.,802,9200,11850,USD,user_204,2026-04-02,2026-07-01,true,31,6.3
3003,/products/3003.webp,Yellow gold chain bracelet,bracelet,14k,very good,"Heavy 14k yellow gold chain bracelet, 19cm length. Well balanced weight, secure clasp, minimal signs of wear.",803,6800,7350,USD,user_089,2026-05-11,2026-07-25,true,18,24.5
3004,/products/3004.webp,Pink gold diamond necklace,necklace,18k,new,"Brand new 18k pink gold necklace featuring a diamond pendant approx. 6mm. Chain length 45cm. Never worn, pristine condition.",804,11200,11200,USD,,2026-06-01,2026-08-30,true,0,7.2
3005,/products/3005.webp,White gold tennis bracelet,bracelet,18k,very good,18k white gold tennis bracelet with evenly set stones. Length 17.5cm. Recently polished with excellent overall appearance.,805,15800,17650,USD,user_311,2026-02-27,2026-06-15,true,37,16.9
3006,/products/3006.webp,Yellow gold hoop earrings,earrings,14k,good,"Classic 14k yellow gold hoop earrings, diameter approx. 3.5cm. Visible surface wear from regular use; hinges firm.",806,4200,4980,USD,user_177,2026-04-20,2026-06-10,true,19,6.1
3007,/products/3007.webp,White gold layered chain necklace,necklace,18k,very good,"18k white gold layered chain necklace, 40cm and 45cm layers. Smooth finish with subtle wear on the clasp area.",807,8900,10450,USD,user_142,2026-05-06,2026-09-01,true,24,12.4
3008,/products/3008.webp,Yellow gold cuff bracelet,bracelet,18k,slightly scratched,Wide 18k yellow gold cuff bracelet. Inner circumference approx. 16.5cm. Light scratches visible under close inspection.,808,13500,14900,USD,user_266,2026-06-18,2026-10-10,true,28,28.7
3009,/products/3009.webp,Pink gold solitaire ring,ring,18k,very good,18k pink gold solitaire-style ring with center stone approx. 7mm. Ring size US 6.75. Excellent condition with minimal wear.,809,7600,9200,USD,user_095,2026-03-30,2026-07-12,true,21,5.8
3010,/products/3010.webp,Yellow gold statement necklace,necklace,18k,good,"Bold 18k yellow gold statement necklace, length 42cm. Substantial weight with visible wear consistent with age.",810,18200,20100,USD,user_402,2026-07-04,2026-10-25,true,39,32.5
3011,/products/3011.webp,White gold drop earrings,earrings,18k,very good,"Elegant 18k white gold drop earrings, total length approx. 4cm. Light wear only, excellent movement when worn.",811,5400,6150,USD,user_188,2026-08-02,2026-11-15,true,17,4.4
3012,/products/3012.webp,Yellow gold flat band ring,ring,14k,scratched,"Wide 14k yellow gold flat band ring, ring size US 9. Noticeable surface scratches from long-term wear.",812,3100,3550,USD,user_121,2026-01-19,2026-05-05,true,26,8.2
3013,/products/3013.webp,Pink gold chain bracelet,bracelet,18k,very good,"18k pink gold chain bracelet, 18cm length. Well maintained with strong links and smooth finish.",813,7400,8600,USD,user_277,2026-09-01,2026-12-20,true,34,19.6
3014,/products/3014.webp,White gold choker necklace,necklace,18k,new,"New 18k white gold choker necklace, length 38cm. Sleek design, never worn, showroom condition.",814,9700,9700,USD,,2026-06-22,2026-09-30,true,0,14.1
3015,/products/3015.webp,Yellow gold bangle bracelet,bracelet,18k,good,"Solid 18k yellow gold bangle bracelet, inner diameter approx. 6cm. Visible wear marks from frequent use.",815,8900,10400,USD,user_333,2026-05-15,2026-08-18,true,29,26.3
3016,/products/3016.webp,White gold stud earrings,earrings,14k,very good,"14k white gold stud earrings, stone size approx. 4mm. Minimal wear, ideal for everyday use.",816,2800,3450,USD,user_014,2026-10-05,2026-12-01,true,16,2.1
3017,/products/3017.webp,Pink gold vintage ring,ring,18k,good,"Vintage 18k pink gold ring, ring size US 7. Subtle patina from age, band remains sturdy.",817,6100,7250,USD,user_198,2026-04-11,2026-07-22,true,23,7.4
3018,/products/3018.webp,Yellow gold long chain necklace,necklace,14k,very good,"14k yellow gold long chain necklace, 60cm length. Smooth links with light wear near clasp.",818,7900,9100,USD,user_248,2026-08-18,2026-11-28,true,35,18.8
3019,/products/3019.webp,White gold oval link bracelet,bracelet,18k,slightly scratched,"18k white gold oval link bracelet, 17cm length. Minor scratches on links, clasp secure.",819,9600,10850,USD,user_376,2026-07-09,2026-10-02,true,27,21.2
3020,/products/3020.webp,Yellow gold pavé hoop earrings,earrings,18k,very good,18k yellow gold pavé hoop earrings with stones set on the front face. Diameter approx. 2.2cm. Excellent condition.,820,8300,9950,USD,user_501,2026-09-27,2026-12-15,true,41,6.9
